observations,comporder,ceorder,ghorder,gtorder
Alteromonas_macleodii_BGP9,18,25,17,21
Alteromonas_macleodii_BGP6,18,25,17,21
Alteromonas_macleodii_83_1,18,25,17,21
Alteromonas_macleodii_BGP14,18,25,17,21
Alteromonas_macleodii_EZ55,18,21,17,21
Alteromonas_macleodii_HOT1A3,18,25,17,21
Alteromonas_macleodii_MIT1002_Genome_closure,18,25,17,21
Alteromonas_sp_07_89_2,18,25,17,21
Alteromonas_sp_KUL17,18,25,17,21
Alteromonas_macleodii_ATCC_27126,18,25,18,21
Alteromonas_macleodii_QZ9_9,18,25,17,21
Alteromonas_macleodii_Te101,18,25,17,21
Alteromonas_macleodii_English_Channel_673,18,25,17,21
Alteromonas_sp_I10,18,25,19,21
Alteromonas_macleodii_Balearic_Sea_AD45,18,22,17,21
Alteromonas_sp_BZK5,18,25,17,21
Alteromonas_macleodii_D7,18,25,17,21
Alteromonas_abrolhosensis_PEL_67E,17,23,16,20
Alteromonas_abrolhosensis_PEL_68C,17,23,16,20
Alteromonas_macleodii_Black_Sea_11,17,23,16,20
Alteromonas_sp_ALT199,16,19,15,18
Alteromonas_sp_BL110,16,18,22,18
Alteromonas_portus_HB161718,16,24,20,19
Alteromonas_macleodii_AltDE1,15,20,24,16
Alteromonas_mediterranea_U10,15,20,24,16
Alteromonas_macleodii__Ionian_Sea_UM7_,15,20,24,16
Alteromonas_mediterranea_UM8,15,20,24,16
Alteromonas_macleodii__Ionian_Sea_UM4b_,15,20,24,16
Alteromonas_macleodii__Ionian_Sea_U4_,15,20,24,16
Alteromonas_macleodii__Ionian_Sea_U7_,15,20,24,16
Alteromonas_macleodii__Ionian_Sea_U8_,15,20,24,16
Alteromonas_mediterranea_AR43,15,20,24,16
Alteromonas_mediterranea_CP49,15,20,24,16
Alteromonas_mediterranea_PT11,15,20,24,16
Alteromonas_mediterranea_AltCH17,15,20,24,16
Alteromonas_mediterranea_PT15,15,20,24,16
Alteromonas_mediterranea_RG65,15,20,24,16
Alteromonas_mediterranea_CP48,15,20,24,16
Alteromonas_macleodii__Aegean_Sea_MED64_,15,20,24,16
Alteromonas_mediterranea_DE,15,20,24,16
Alteromonas_macleodii__English_Channel_615_,15,20,24,16
Alteromonas_sp_TK_46_2__DSM_26665,14,15,23,17
Alteromonas_sp_Mex14,14,15,23,17
Alteromonas_sp_KUL150,14,15,23,17
Alteromonas_sp_KUL106,14,17,23,17
Alteromonas_sp_V450,13,16,21,14
Alteromonas_sp_KC14,12,13,14,13
Alteromonas_sp_KC3,12,13,14,13
Alteromonas_sp_KUL42,12,13,14,13
Alteromonas_sp_LTR,11,14,13,15
Alteromonas_sp_LOR,11,14,13,15
Alteromonas_sp_MB_3u_76,11,14,13,15
Alteromonas_sp_RW2A1,11,14,13,15
Alteromonas_stellipolaris_LMG_21861,10,12,11,12
Alteromonas_stellipolaris_LMG21856,10,12,11,12
Alteromonas_sp_Mac2,10,12,11,12
Alteromonas_sp_Mac1,10,12,11,12
Alteromonas_stellipolaris_PQQ_42,10,12,11,12
Alteromonas_stellipolaris_R10SW13,10,12,11,12
Alteromonas_stellipolaris_PQQ_44,10,12,11,12
Alteromonas_naphthalenivorans_SN2,9,11,10,11
Alteromonas_sp_76_1,9,11,10,11
Alteromonas_sp_KS69,9,11,10,11
Alteromonas_australica_DE170,8,10,9,10
Alteromonas_sp_B31_7,8,10,9,10
Alteromonas_australica_H17,8,10,9,10
Alteromonas_sp_KUL49,7,9,12,9
Alteromonas_confluentis_KCTC_42603,6,7,6,3
Alteromonas_sp_RKMC_009,6,7,6,3
Alteromonas_pelagimontana_512,5,5,8,6
Alteromonas_indica_IO390401,5,4,7,4
Alteromonas_ponticola_MYP5,4,3,4,8
Alteromonas_aestuariivivens_KCTC_52655,4,6,5,7
Alteromonas_oceani_S35,3,8,3,5
Alteromonas_alba_190,3,8,3,5
Alteromonas_lipolytica_JW12,3,8,3,5
Alteromonas_sediminis_U0105,2,2,2,2
Alteromonas_sp_LMIT006,1,1,1,1
