sample	total_reads_mapped
DSS3_ac_a	65900806
DSS3_ac_b	65963885
DSS3_glc_a	58113855
DSS3_glc_ac_19_a	51745097
DSS3_glc_ac_19_b	42724014
DSS3_glc_ac_19_c	45745271
DSS3_glc_ac_34_a	37644606
DSS3_glc_ac_34_b	40705657
DSS3_glc_ac_34_c	51861955
DSS3_glc_b	52974790
DSS3_glc_c	51962911
SRR12068553	7900937
SRR12068554	16342790
SRR12068555	11484344
SRR12068556	15187522
SRR12068557	11974880
SRR12068558	11688562
SRR12068559	4292891
SRR12068560	9632257
SRR12068561	13262207
SRR12068562	8392140
SRR12068563	10347325
SRR12068564	15014379
SRR12068565	17067616
SRR12068566	19789136
SRR12068567	21441216
SRR12068568	22146949
SRR12068569	18653573
SRR12068570	10669411
SRR12068571	10228179
SRR12068572	12386775
SRR12068573	11309864
SRR12068574	10759372
SRR12068575	14103983
SRR12068576	10730956
SRR12068577	9878423
SRR12068578	7841922
SRR12068579	18252738
SRR12068580	12997568
SRR12068581	10845933
SRR12068582	22640883
SRR12068583	9354944
SRR12068584	7401201
SRR12068585	13763566
SRR12068589	13210228
SRR12068590	19544014
SRR12068591	17406009
SRR12068593	11518973
SRR12068596	12848957
SRR12068597	17922222
SRR12068598	6563268
SRR12068599	10627464
SRR12364852	17345189
SRR12364853	10472458
SRR12364854	28661713
SRR12364855	24996184
SRR12364856	15976655
SRR12364857	24819304
SRR12364858	29950465
SRR12364859	24211004
SRR12364860	22599212
SRR12364861	28270852
SRR12364862	25754636
SRR12364863	15954431
SRR12364864	15969869
SRR12364865	18674925
SRR12364866	12190403
SRR12364867	30377774
SRR12364868	12831001
SRR12364869	16947305
SRR12364870	14340510
SRR12364871	12817761
SRR12364872	13901134
SRR12364873	16579526
SRR12364874	17273618
SRR12364875	17815287
SRR12364876	25683642
SRR12364877	11713449
SRR12364878	31607387
SRR12364879	17008270
SRR12364880	10758498
SRR12364881	11902912
SRR12364882	12898244
SRR12364883	17031321
SRR12364884	14763465
SRR12364885	17585738
SRR12364886	10804058
SRR15670081	5815862
SRR15670082	19435885
SRR15670083	7419237
SRR15670084	178281
SRR15670085	107613
SRR15670086	707920
SRR15670087	6693955
SRR15670088	10965462
SRR15670089	7586905
SRR15670090	12542120
SRR15670092	12488250
SRR15670093	10081561
SRR1619676	492560
SRR1619677	540525
SRR1619678	382249
SRR1619679	875980
SRR1632877	449695
SRR1632878	4699523
SRR17220668	1625173
SRR17220675	2559807
SRR17220678	7799188
SRR17220679	11903076
SRR17220680	5031293
SRR17220681	2773790
SRR17220686	5876192
SRR17220687	6917776
SRR5680821	821944
SRR5680822	1663610
SRR5680823	1813095
SRR5680824	956635
SRR5680825	1324213
SRR5680826	1472582
SRR5680827	1291729
SRR5680828	236093
SRR5680829	3710605
SRR5680830	624109
SRR5680831	1381109
SRR5680832	1628346
SRR5680833	746154
SRR5680834	1953517
SRR5680835	1731966
SRR5680836	865516
SRR7073597	12606013
SRR7073598	8585290
SRR7073599	5535103
SRR7073600	11827190
