taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Genus,Species,Assembly Method,High Quality,Has Coverage,Strain,Culture Type,Cultured,Isolation,Genome Size   * assembled,Gene Count   * assembled,Scaffold Count   * assembled,GC Count   * assembled,GC   * assembled,Coding Base Count   * assembled,Coding Base Count %   * assembled,Coding Base Count NP ,Coding Base Count NP % ,Depth,Temperature,Salinity (ppt),Environment,Link,Genome,Species,latitude,longitude,clade,Species_Color,Env_Color,Completeness,Contamination,Circular,Completeness - 5xcontamination,Genome Type,,
637000216,Bacteria,Finished,Pseudoalteromonas atlantica T6c,Pseudoalteromonas atlantica T6c,DOE Joint Genome Institute (JGI),637000216,Pseudoalteromonas,Pseudoalteromonas atlantica,,Yes,No,T6c,Isolate,Yes,"isolated from a biofilm, San Diego Bay, California",5187005,4405,1,2314239,44.62,4530034,87.33,4507935,86.91,0,Mesophile,,Marine Bay,https://gold.jgi.doe.gov/organisms?id=Go0000334,Pseudoalteromonas_atlantica_T6c,Pseudoalteromonas atlantica,32.6852,-117.1445,,#000000,darkcyan,100,,Y,100,Isolate,,
642555105,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas mediterranea DE,J. Craig Venter Institute (JCVI),642555105,Alteromonas,Alteromonas mediterranea,Celera Assembler,Yes,No,DE,Isolate,Yes,Seawater obtained at 3500m depth from the Urania Basin in the Mediterranean Sea,4412282,4128,1,1980176,44.88,3824077,86.67,3824077,86.67,3500,30,,Mediterranean,https://gold.jgi.doe.gov/organism?id=Go0000932,Alteromonas_mediterranea_DE,Alteromonas mediterranea,41.6,17.36889,20,#FF7373,forestgreen,99.85,,Y,99.85,Isolate,,
2504136012,Bacteria,Finished,Alteromonas naphthalenivorans SN2,Alteromonas naphthalenivorans SN2,National Instrumentation Center for Environmental Management Korea,2504136012,Alteromonas,Alteromonas naphthalenivorans,Phred-Phrap-Consed,Yes,No,SN2,Isolate,Yes,Foreshore tidal flat in TAEAN,4972148,4442,1,2163223,43.51,4374904,87.99,4374904,87.99,0,Mesophile,,Marine Sediment,https://gold.jgi.doe.gov/organisms?id=Go0009356,Alteromonas_naphthalenivorans_SN2,Alteromonas naphthalenivorans,36.75429,126.301117,18,#FF7373,darkcyan,99.95,,N,99.95,Isolate,,
2521172683,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii English Channel 673,University Miguel Hernandez,2521172683,Alteromonas,Alteromonas macleodii,,Yes,No,English Channel 673,Isolate,Yes,,4601785,3979,1,2062180,44.81,4055078,88.12,4055078,88.12,0,Mesophile,,Marine Coastal,https://gold.jgi.doe.gov/organisms?id=Go0011297,Alteromonas_macleodii_English_Channel_673,Alteromonas macleodii,50.25 ,-4.216667,4,#FFB9F6,darkblue,99.88,,Y,99.88,Isolate,,
2521172684,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii Black Sea 11,University Miguel Hernandez,2521172684,Alteromonas,Alteromonas macleodii,,Yes,No,Black Sea 11,Isolate,Yes,,4480507,3858,1,1998657,44.61,3927383,87.65,3927383,87.65,0,Mesophile,,Mediterranean,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-294X.2008.03883.x,Alteromonas_macleodii_Black_Sea_11,Alteromonas macleodii,43.413029,34.299316,24,#FFB9F6,forestgreen,100,,Y,100,Isolate,,
2521172685,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii AltDE1,University Miguel Hernandez,2521172685,Alteromonas,Alteromonas mediterranea,,Yes,No,AltDE1,Isolate,Yes,,4947126,4405,2,2210515,44.68,4309457,87.11,4309457,87.11,1000,Mesophile,,Mediterranean,https://academic.oup.com/gbe/article/4/12/1360/608778,Alteromonas_macleodii_AltDE1,Alteromonas mediterranea,41.6,17.36667,20,#B700D0,forestgreen,100,,Y,100,Isolate,,
2521172706,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii Balearic Sea AD45,University Miguel Hernandez,2521172706,Alteromonas,Alteromonas macleodii,,Yes,No,Balearic Sea AD45,Isolate,Yes,,4674885,4054,2,2088716,44.68,4101248,87.73,4101248,87.73,,19,,Aquaculture,https://www.int-res.com/articles/dao2003/54/d054p119.pdf,Alteromonas_macleodii_Balearic_Sea_AD45,Alteromonas macleodii,40.2891,2.145,1,#FFB9F6,darkgray,98.65,,Y,98.65,Isolate,,
2524614846,Bacteria,Permanent Draft,Alteromonas ALT199,Alteromonas sp. ALT199,DOE Joint Genome Institute (JGI),2524614846,Alteromonas,Alteromonas sp. ALT199,Unknown program v. before 2013-04-23,Yes,No,ALT199,Isolate,Yes,,4635666,4039,1,2024478,43.67,4092372,88.28,4073453,87.87,0,,,Marine Coastal,https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-15-483/MediaObjects/12864_2014_6297_MOESM1_ESM.pdf,Alteromonas_sp_ALT199,Alteromonas sp.,32.74722,117.2553,25,#A9A9A9,darkblue,99.95,,N,99.95,Isolate,,
2545824627,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Aegean Sea MED64',University Miguel Hernandez,2545824627,Alteromonas,Alteromonas mediterranea,"Velvet, IDBA, Geneious v. 5.7",Yes,No,'Aegean Sea MED64',Isolate,Yes,Coastal waters of Israel (Eastern Aegean),4397537,3898,1,1971222,44.83,3863381,87.86,3863381,87.86,5,21,,Mediterranean Coastal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC152472/,Alteromonas_macleodii__Aegean_Sea_MED64_,Alteromonas mediterranea,33.35,35.15,20,#B700D0,yellowgreen,98.71,,Y,98.71,Isolate,,
2554235399,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Ionian Sea U7',University Miguel Hernandez,2554235399,Alteromonas,Alteromonas mediterranea,,Yes,No,'Ionian Sea U7',Isolate,Yes,,4442936,3931,1,1990863,44.81,3863905,86.97,3863905,86.97,3500,,200,Mediterranean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC93321/,Alteromonas_macleodii__Ionian_Sea_U7_,Alteromonas mediterranea,35.23972,21.47472,20,#B700D0,forestgreen,99.55,,Y,99.55,Isolate,,
